2019-04-10 02:34:01 0.2238769531, 0.3632812500, 0.4494628906 0.0083007812, 0.0046386719, 0.0097656250 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:34:11 0.2238769531, 0.3632812500, 0.4494628906 0.0034179688, 0.0170898438, 0.0136718750 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:34:22 0.2238769531, 0.3632812500, 0.4494628906 0.0019531250, 0.0131835938, 0.0112304688 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:34:32 0.2238769531, 0.3632812500, 0.4494628906 0.0065917969, 0.0058593750, 0.0051269531 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:34:42 0.2238769531, 0.3632812500, 0.4494628906 0.0026855469, 0.0251464844, 0.0195312500 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:34:52 0.2238769531, 0.3632812500, 0.4494628906 0.0017089844, 0.0048828125, 0.0024414062 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:35:02 0.2238769531, 0.3632812500, 0.4494628906 0.0083007812, 0.0175781250, 0.0063476562 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:35:12 0.2238769531, 0.3632812500, 0.4494628906 0.0009765625, 0.0212402344, 0.0163574219 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:35:22 0.2238769531, 0.3632812500, 0.4494628906 0.0012207031, 0.0021972656, 0.0080566406 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:35:32 0.2238769531, 0.3632812500, 0.4494628906 0.0009765625, 0.0012207031, 0.0102539062 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:35:43 0.2238769531, 0.3632812500, 0.4494628906 0.0041503906, 0.0288085938, 0.0183105469 0.1535644531, 0.2722167969, 1.5563964844 
2019-04-10 02:35:53 0.2238769531, 0.3632812500, 0.4494628906 0.0053710938, 0.0063476562, 0.0080566406 0.1535644531, 0.2722167969, 1.5563964844 
